context,scenario,samples,mean_wall_ms_per_token,median_wall_ms_per_token,p95_run_mean_ms_per_token,mean_tokens_per_second,mean_gpu_span_ms_per_token,median_paired_speedup,median_paired_latency_reduction_pct,peak_allocated_mib,exit_rate
256,full,15,11.713262322914867,11.719636921881715,11.801893970311994,85.37583425719238,11.713152440388997,1.0,0.0,1703.0048828125,0.0
256,gate_reject,15,11.889298876042176,11.881130468751167,12.07366377343675,84.1151921251919,11.889393870035807,0.9872732466998857,-1.2890811477628272,1703.00537109375,0.0
256,exit_12,15,6.430897674997027,6.42275001561643,6.520935565625052,155.51145031893742,6.43028465906779,1.820016456003632,45.055441850466195,1702.9990234375,1.0
2048,full,15,12.030963102083092,11.986326093747834,12.63355919061837,83.18744170774386,12.031080945332844,1.0,0.0,1746.6455078125,0.0
2048,gate_reject,15,12.066791995833151,11.993357062507926,12.421269881242836,82.89425774273887,12.066925366719564,0.992586071411255,-0.7469305486227373,1746.64599609375,0.0
2048,exit_12,15,6.5650279739571715,6.5184179062498515,6.88145491094474,152.41047044923457,6.56468833287557,1.8213454830867863,45.095534631616594,1746.6396484375,1.0
